"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","Whangarei"
"Patelloida corticata",NA,NA,NA,6.95676766147015,NA,16.2259142490824,7.11535033994893,NA,NA,9.25309206555188,NA,NA,NA,4.575835924711,3.90800861794752,NA,NA,NA,NA,NA,12.4073218970147,NA,NA,NA,NA,NA,NA,11.2939231910071,NA,4.48590853916404,NA,8.05074394436606,NA,NA,NA,NA,NA,NA
"Plaxiphora caelata",NA,NA,NA,NA,NA,99.8192905577797,21.2929253027397,NA,NA,18.8887477009589,35.1804196528764,NA,NA,22.6122950930941,35.1405812126346,NA,33.6926058861468,168.544022376938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1409790987116,NA,NA,NA,NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA,NA,24.65347724707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2217780072202,25.0848121575647,NA,NA,NA,NA,NA,NA,25.4553829680053,NA,NA,NA,NA,NA,NA,NA,NA
"Siphonaria australis",7.8972382186643,NA,NA,1.24079641346214,5.48201773833502,NA,15.3391857488456,16.783663748334,NA,4.81118130413457,2.09658327825735,NA,NA,NA,4.75459911172423,NA,5.76011363363669,NA,7.46854235437938,NA,7.41828409137461,8.26818370655812,3.66057046213188,NA,NA,NA,NA,9.30953640252829,NA,3.59788886676308,4.17458536607587,NA,NA,NA,NA,NA,NA,NA
"Sypharochiton pelliserpentis",NA,NA,NA,NA,48.7676080726538,NA,51.502403660102,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4474592209651,NA,46.7696586826026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7157150232345,NA,NA,NA,NA,NA,NA,NA,NA
"Trimusculus conicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1841645878378,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",119.330935214686,83.5648622647252,NA,NA,NA,NA,NA,NA,NA,89.1288283473353,53.3507288347853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.550778388154,146.823587159569,NA,88.8161974858271,NA,NA,NA,NA,NA,97.1602374977769,NA,103.26723891089,NA,NA,NA,NA,NA
"UNID Diloma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20739864961743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22257848396437,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNID Limpet",NA,NA,NA,NA,NA,NA,NA,6.02697448585258,NA,2.77561091621891,NA,NA,NA,2.18856858362267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNID Snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97600172566095,NA,NA,NA,0.867271686925912,NA,NA,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9689882906307,NA,10.2593763249189,NA,NA,NA,13.9251706227869,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8142516855989,NA,NA,NA,NA,NA
