"Pred","Year","Site","Area","PredSize","Prey","PreySize"
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",35,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",35,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",29,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",33,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",NA,"Not Feeding",NA
"Haustrum haustorium",2004,"LimestoneBayPoint","General",24,"Not Feeding",NA
"Haustrum haustorium",2004,"LeighShadowRocks","General",18,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",57,"Not Feeding",NA
"Haustrum haustorium",2004,"FirstBay","Area_02",46,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",43,"Not Feeding",NA
"Haustrum haustorium",2004,"FirstBay","Area_02",28,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",19.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",18,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",43.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",11,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",23.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",14.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",37.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",15.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",32.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",12.8,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.7,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",54.9,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",27.2,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",29,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",28.2,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",42.9,"Not Feeding",11.8
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",12.4,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",36.3,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",43.2,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",58.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",36,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",12.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",17.6,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",46.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",31.4,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",35.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",34.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",10.7,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",26.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",18.9,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",14.7,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",8.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",29,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",49.5,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",39.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",24.9,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",45,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",47.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",13.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",39.5,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",35.2,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",9.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",42.8,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",52.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",26.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",31.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",31.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",38.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",43.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",37,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",14.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",38.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",37,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",37,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",44,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",34.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",44.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",47.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",45.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",38.5,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",40,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",34.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",31.6,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",30.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",29,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",38,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",28.9,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",48.7,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",39.2,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",38.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",52.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",29.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",38.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",41.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",31.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",38.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",32.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",41.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",24.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",36,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",32.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",14.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",42.6,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",17.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",37.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",28.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",17.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",34.2,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",15.2,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",22.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",17.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",14.2,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",38,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",33.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",32.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",25.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",25.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",12.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",40.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",28.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",38.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",2004,"Raramai","Area_03",36,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",28.6,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"WaikukuBay","General",49.8,"Not Feeding",NA
"Haustrum haustorium",2004,"Raramai","Area_02",31,"Not Feeding",NA
"Haustrum haustorium",2004,"Raramai","Area_02",41,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_02",36.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",24.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",29.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",18,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_02",31.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",25.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",35,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",39.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",33,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",28.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",34.6,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",20,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",36.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",37.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",35.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",28.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",29,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",36.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",16.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",43.3,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighHarbour","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_04",29,"Not Feeding",NA
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_04",30,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_02",42.8,"Not Feeding",NA
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_03",42,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_09",19.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",18.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",50.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",38.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",20.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",27.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",20.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",26.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",47.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",24,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",30,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",48.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",26.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",42,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",58,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",27,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",22.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",39.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",26.8,"Not Feeding",NA
"Haustrum haustorium",2004,"TapotupotuBayWest","Area_01",36,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",52.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",25,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",17.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",60,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",30,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",38.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",30,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",18.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",20,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",16.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",29.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",20,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",43,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",34,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",15.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",19,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",53,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",14.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",39.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",12.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",10.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",30.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",13,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",23,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",13,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",23.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",31.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",39.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",16.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",15.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",23.4,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",17.5,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",13.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",23.1,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.2,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",25.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",16.2,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",14.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",14.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",29,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",9.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",17.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",12.9,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",13.8,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",16,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",NA,"Not Feeding",NA
"Haustrum haustorium",1969,"Leigh - Echinoderm Reef","General",15.3,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",23,"Not Feeding",NA
"Haustrum haustorium",1969,"Whangarei","Area_02",39.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_01",32.7,"Not Feeding",NA
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",19.1,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_01",31.7,"Not Feeding",NA
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",35.4,"Not Feeding",NA
