"Species","Castle Point - Midshore","Leigh - Caves - Transect #4 - 1ft above low water","Leigh - Caves - Transect #5 - 2ft above low water","Leigh - Waterfall Rocks - ~25 cm above Xiphophora (brown algae) zone","Leigh - Waterfall Rocks - Transect #1 - Lowest level of C. ornata","Leigh - Waterfall Rocks - Transect #3 - 1ft above Xiphora","Leigh - Waterfall Rocks - Transect#2 - 1ft above Xiphora - compare this one","Rangitoto Island - Whites Beach - Below Oyster Zone (+2.4ft)","Rangitoto Island - Whites Beach - Low Zone (+1.6ft)","Rangitoto Island - Whites Beach - Oyster Level","Rangitoto Island - Whites Beach - Oyster Zone","Red Beach - Whangaparaoa - Oyster Level","Red Beach - Whangaparaoa - Transect #1 - Oyster Level","Red Beach - Whangaparaoa - Transect #1 - Unspecified","Red Beach - Whangaparaoa - Transect #2 - Oyster Level","Red Beach - Whangaparaoa - Transect #2 - Unspecified","Red Beach - Whangaparaoa - Transect #3 - Hormosira Zone","Whangarei - Area I - 0.5ft below oysters","Whangarei - Area I - diagonally across oysters","Whangarei - Area I - near bottom of oysters"
"Atalacmea fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buccinulum sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliostoma punctulatum",NA,NA,NA,NA,NA,NA,NA,0,0.202020202020202,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",NA,0,0,NA,2.62626262626263,0,0.404040404040404,NA,NA,NA,NA,NA,9.8989898989899,13.7373737373737,6.66666666666667,6.06060606060606,NA,NA,NA,NA
"Cellana radians",NA,31.9191919191919,22.3776223776224,NA,46.8686868686869,1.41414141414141,46.2626262626263,2.02020202020202,0.404040404040404,NA,0.404040404040404,NA,0.606060606060606,0.606060606060606,0,0,NA,0,0,0.404040404040404
"Cominella maculosa",NA,NA,NA,NA,NA,NA,NA,0.808080808080808,1.21212121212121,NA,0.606060606060606,NA,NA,0.808080808080808,NA,5.85858585858586,NA,0.202020202020202,0,0.404040404040404
"Cominella virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diloma aethiops",NA,7.27272727272727,6.06060606060606,NA,0.808080808080808,0.808080808080808,4.24242424242424,1.41414141414141,2.22222222222222,NA,4.44444444444444,NA,0.606060606060606,0.606060606060606,0.606060606060606,0.404040404040404,NA,30.5050505050505,2.82828282828283,3.23232323232323
"Haustrum haustorium",NA,1.41414141414141,1.16550116550117,NA,0.606060606060606,0.606060606060606,1.41414141414141,1.61616161616162,0.808080808080808,NA,0.808080808080808,NA,1.81818181818182,1.01010101010101,1.21212121212121,2.22222222222222,NA,0.606060606060606,0.202020202020202,1.01010101010101
"Haustrum scobina",NA,1.61616161616162,2.0979020979021,NA,6.26262626262626,0.808080808080808,8.08080808080808,4.04040404040404,1.01010101010101,NA,0.202020202020202,NA,20.4040404040404,31.1111111111111,25.2525252525252,31.7171717171717,0.606060606060606,1.81818181818182,6.26262626262626,3.83838383838384
"Neothais scalaris",NA,0.202020202020202,0,NA,0.606060606060606,0.202020202020202,0.404040404040404,NA,NA,NA,NA,NA,0,1.41414141414141,0,4.64646464646465,0.404040404040404,0,0.202020202020202,0.808080808080808
"Nerita atramentosa",NA,12.1212121212121,3.4965034965035,NA,6.06060606060606,5.05050505050505,0,2.22222222222222,0.808080808080808,NA,5.65656565656566,NA,NA,0,NA,0,NA,40.8080808080808,19.1919191919192,36.1616161616162
"Notoacmea parviconoidea",NA,NA,NA,NA,44.9494949494949,NA,NA,NA,NA,NA,NA,NA,NA,0.606060606060606,NA,0,NA,7.47474747474747,1.01010101010101,1.61616161616162
"Onchidella nigricans",NA,NA,NA,NA,4.24242424242424,NA,NA,0.202020202020202,0,NA,1.81818181818182,NA,NA,8.28282828282828,NA,13.3333333333333,NA,0,6.06060606060606,6.06060606060606
"Patelloida corticata",NA,1.81818181818182,0.932400932400932,NA,33.9393939393939,15.7575757575758,24.6464646464646,NA,NA,NA,NA,NA,NA,1.21212121212121,NA,0.404040404040404,NA,NA,NA,NA
"Plaxiphora caelata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61616161616162,NA,7.47474747474747,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,51.010101010101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siphonaria australis",NA,5.25252525252525,0,NA,10.5050505050505,0.202020202020202,1.41414141414141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404040404040404
"Sypharochiton pelliserpentis",NA,6.86868686868687,3.26340326340326,NA,6.06060606060606,8.88888888888889,2.02020202020202,NA,NA,NA,NA,NA,15.7575757575758,18.3838383838384,10.5050505050505,30.9090909090909,NA,5.25252525252525,3.43434343434343,7.27272727272727
"Taron dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",NA,2.22222222222222,11.6550116550117,NA,0.202020202020202,1.41414141414141,0.606060606060606,10.5050505050505,10.1010101010101,NA,2.82828282828283,NA,10.9090909090909,13.1313131313131,20.6060606060606,3.43434343434343,65.2525252525252,0,0.202020202020202,0.606060606060606
