"Site","Prey","Year","n.obs","h.mean","pi","pi0","N.mean"
"Avoca Point North","Not Feeding",2004,49,NA,0.924528301886792,1,NA
"Avoca Point North","Siphonaria australis",2004,2,0.222306783389491,0.0377358490566038,0.0408163265306122,NA
"Avoca Point North","Turbo smaragdus",2004,2,4.03224069432228,0.0377358490566038,0.0408163265306122,NA
"Cape Foulwind","Cantharidella tesselata",2004,1,0.303020661285864,0.00537634408602151,0.00546448087431694,NA
"Cape Foulwind","Haustrum scobina",2004,1,2.58897442284034,0.00537634408602151,0.00546448087431694,NA
"Cape Foulwind","Not Feeding",2004,183,NA,0.983870967741935,1,NA
"Cape Foulwind","Turbo smaragdus",2004,1,3.49244469475575,0.00537634408602151,0.00546448087431694,NA
"Cape Foulwind NWPlatform","Not Feeding",2004,27,NA,1,1,NA
"Castle Point Boulders","Diloma aethiops",2004,2,0.460767940686552,0.0363636363636364,0.0408163265306122,NA
"Castle Point Boulders","Not Feeding",2004,49,NA,0.890909090909091,1,NA
"Castle Point Boulders","Patelloida corticata",2004,1,0.290390206689214,0.0181818181818182,0.0204081632653061,NA
"Castle Point Boulders","Siphonaria australis",2004,2,0.0416586659787562,0.0363636363636364,0.0408163265306122,NA
"Castle Point Boulders","UNID",2004,1,NA,0.0181818181818182,0.0204081632653061,NA
"Castle Point Cave","Cantharidella tesselata",2004,6,0.321737411285659,0.0275229357798165,0.0294117647058824,NA
"Castle Point Cave","Cellana radians",2004,1,0.117517252404168,0.00458715596330275,0.00490196078431373,NA
"Castle Point Cave","Haustrum scobina",2004,2,2.67215043939883,0.00917431192660551,0.00980392156862745,NA
"Castle Point Cave","Not Feeding",2004,204,NA,0.935779816513762,1,NA
"Castle Point Cave","Notoacmea parviconoidea",2004,1,0.129120671353465,0.00458715596330275,0.00490196078431373,NA
"Castle Point Cave","Siphonaria australis",2004,2,0.184054002230466,0.00917431192660551,0.00980392156862745,NA
"Castle Point Cave","Sypharochiton pelliserpentis",2004,2,1.90056493948948,0.00917431192660551,0.00980392156862745,NA
"Charleston Joyce Bay","Cellana ornata",2004,1,0.292625320313598,0.00952380952380952,0.0099009900990099,NA
"Charleston Joyce Bay","Not Feeding",2004,101,NA,0.961904761904762,1,NA
"Charleston Joyce Bay","Paratrophon patens",2004,1,3.08283457240697,0.00952380952380952,0.0099009900990099,NA
"Charleston Joyce Bay","Patelloida corticata",2004,1,0.677304004072023,0.00952380952380952,0.0099009900990099,NA
"Charleston Joyce Bay","Plaxiphora caelata",2004,1,4.26578994176584,0.00952380952380952,0.0099009900990099,NA
"First Bay","Cantharidella tesselata",2004,1,0.76856890149933,0.00492610837438424,0.00520833333333333,NA
"First Bay","Cellana ornata",2004,2,0.605787406156555,0.00985221674876847,0.0104166666666667,NA
"First Bay","Not Feeding",2004,192,NA,0.945812807881773,1,NA
"First Bay","Patelloida corticata",2004,2,0.297123797683798,0.00985221674876847,0.0104166666666667,NA
"First Bay","Plaxiphora caelata",2004,1,0.90995584199851,0.00492610837438424,0.00520833333333333,NA
"First Bay","Risellopsis varia",2004,1,0.934484010218393,0.00492610837438424,0.00520833333333333,NA
"First Bay","Siphonaria australis",2004,1,0.431797161136736,0.00492610837438424,0.00520833333333333,NA
