"Site","Lat","Lon"
"Leigh - Waterfall Rocks",-36.2688106823289,174.806006497751
"LeighTabletopRocksandBoulders",-36.2701227899009,174.802511994108
"LeighEchinodermReef",-36.2695949007642,174.793749627612
"Red Beach - Whangaparaoa",-36.6006903277616,174.709173763843
"Rangitoto Island - Whites Beach",-36.7753964711143,174.833439708642
