"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa","LeighEchinodermReef","LeighTabletopRocksandBoulders"
"Not Feeding",953,103,35,62,254
"Cellana radians",30,NA,NA,NA,NA
"Cominella adspersa",NA,NA,NA,NA,NA
"Crassostrea gigas",NA,1,NA,NA,NA
"Dicathais orbita",1,NA,NA,NA,NA
"Diloma aethiops",3,1,NA,NA,NA
"Diloma nigerrima",NA,NA,NA,NA,1
"Fossarina rimata",1,NA,NA,NA,NA
"Haustrum scobina",8,14,NA,1,3
"Notoacmea parviconoidea",3,NA,NA,1,NA
"Patelloida corticata",24,NA,NA,NA,4
"Plaxiphora caelata",6,NA,NA,1,3
"Risellopsis varia",NA,1,NA,NA,NA
"Siphonaria australis",24,4,NA,2,3
"Sypharochiton pelliserpentis",NA,NA,NA,NA,NA
"Turbo smaragdus",6,4,2,5,NA
"UNID Limpet",1,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,1,NA,NA,NA
