monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
13.67,2004,9,Sep-04,,,,-0.71,-0.49,,,
14.81,2004,10,Oct-04,,,,-0.48,-0.92,,,
16.50,2004,11,Nov-04,,,,-0.13,-1.03,,,
15.64,2004,12,Dec-04,,,,-2.55,-0.84,,,
18.56,2005,1,Jan-05,,,,-1.28,-0.65,,,
20.76,2005,2,Feb-05,,,,0.25,-0.53,,,
20.82,2005,3,Mar-05,,,,0.45,0.12,,,
19.64,2005,4,Apr-05,,,,0.47,0.45,,,
18.12,2005,5,May-05,,,,0.71,0.56,,,
16.02,2005,6,Jun-05,,,,0.37,0.57,,,
15.18,2005,7,Jul-05,,,,0.80,0.58,,,
14.48,2005,8,Aug-05,,,,0.50,0.49,,,
14.90,2005,9,Sep-05,,,,0.52,0.56,,,
15.54,2005,10,Oct-05,,,,0.26,0.41,,,
17.37,2005,11,Nov-05,,,,0.74,0.23,,,
18.19,2005,12,Dec-05,,,,0.00,0.19,,,
19.44,2006,1,Jan-06,,,,-0.39,0.03,,,
20.86,2006,2,Feb-06,,,,0.35,-0.15,,,
19.80,2006,3,Mar-06,,,,-0.58,-0.10,,,
19.03,2006,4,Apr-06,,,,-0.14,-0.11,,,
17.66,2006,5,May-06,,,,0.25,-0.32,,,
15.22,2006,6,Jun-06,,,,-0.43,-0.28,,,
13.69,2006,7,Jul-06,,,,-0.70,-0.21,,,
13.59,2006,8,Aug-06,,,,-0.38,-0.27,,,
14.61,2006,9,Sep-06,,,,0.23,-0.38,,,
15.24,2006,10,Oct-06,,,,-0.04,-0.56,,,
15.60,2006,11,Nov-06,,,,-1.03,-0.69,,,
16.62,2006,12,Dec-06,,,,-1.57,-0.79,,,
18.77,2007,1,Jan-07,,,,-1.06,-0.85,,,
20.26,2007,2,Feb-07,,,,-0.25,-0.66,,,
20.03,2007,3,Mar-07,,,,-0.35,-0.24,,,
19.09,2007,4,Apr-07,,,,-0.08,0.06,,,
17.96,2007,5,May-07,,,,0.55,0.15,,,
16.08,2007,6,Jun-07,,,,0.44,0.26,,,
14.57,2007,7,Jul-07,,,,0.19,0.32,,,
14.16,2007,8,Aug-07,,,,0.19,0.13,,,
14.59,2007,9,Sep-07,,,,0.21,0.01,,,
14.93,2007,10,Oct-07,,,,-0.36,-0.02,,,
16.46,2007,11,Nov-07,,,,-0.17,0.12,,,
18.22,2007,12,Dec-07,,,,0.03,0.19,,,
20.71,2008,1,Jan-08,,,,0.88,0.38,,,
21.07,2008,2,Feb-08,,,,0.56,0.57,,,
20.96,2008,3,Mar-08,,,,0.58,0.65,,,
19.95,2008,4,Apr-08,,,,0.78,0.59,,,
17.88,2008,5,May-08,,,,0.47,0.50,,,
16.21,2008,6,Jun-08,,,,0.56,0.34,,,
14.48,2008,7,Jul-08,,,,0.09,0.19,,,
13.75,2008,8,Aug-08,,,,-0.22,0.08,,,
14.44,2008,9,Sep-08,,,,0.06,-0.11,,,
15.18,2008,10,Oct-08,,,,-0.10,-0.14,,,
16.25,2008,11,Nov-08,,,,-0.38,-0.13,,,
18.11,2008,12,Dec-08,,,,-0.07,-0.19,,,
20.45,2009,1,Jan-09,,,,,,,,
21.30,2009,2,Feb-09,,,,,,,,
20.38,2009,3,Mar-09,,,,,,,,
19.19,2009,4,Apr-09,,,,,,,,
16.81,2009,5,May-09,,,,,,,,
14.96,2009,6,Jun-09,,,,,,,,
13.84,2009,7,Jul-09,,,,,,,,
14.26,2009,8,Aug-09,,,,,,,,
14.91,2009,9,Sep-09,,,,,,,,
15.04,2009,10,Oct-09,,,,,,,,
16.36,2009,11,Nov-09,,,,,,,,
17.13,2009,12,Dec-09,,,,,,,,
